task,model,best_learning_rate,best_batch_size,best_rc_aug,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count
H3K4me1,Mamba-char,0.0001,128,True,0.4045207550128301,0.010088036406125066,0.6919629640049405,0.00541468449642515,0.7331026660071479,0.009383276237072182,0.6489451494481828,0.013475535344159222,0.8446659247080485,0.04338199237138221,18
H3K4me2,CNN,0.001,64,False,0.487087607383728,0.015921718706738797,0.742594321568807,0.007036640316622387,0.7510944604873657,0.012335525891746338,0.7270928025245667,0.011855757870630299,0.7776738405227661,0.03580886789063077,3
H3K4me2,Caduceus,0.001,128,True,0.48483530964170185,0.019552969799149274,0.7363356947898865,0.012133009440539457,0.7588451334408352,0.012363929623634282,0.7010615723473685,0.028808420614304074,0.8314847009522575,0.056735678555568096,7
H3K4me2,HyenaDNA,0.0006,128,True,0.4765191880556253,0.014612897712013868,0.7315967449775109,0.009079286441545353,0.7577695067112262,0.009243495327244205,0.6913189154404861,0.018497507475079392,0.8406130763200613,0.04048569771751967,13
H3K4me2,Mamba-bpe,5e-05,256,True,0.4703081505639212,0.014381736785019248,0.7294534317084721,0.010255116774952446,0.7534195482730865,0.007437490215196968,0.6936628307615008,0.02361854514974119,0.8274756073951721,0.04344298667255306,14
H3K4me2,Mamba-char,0.0001,256,True,0.45626284016503227,0.014271477378201357,0.7243529756863912,0.007986076899066165,0.7458952168623606,0.008377538110319653,0.6923187971115112,0.014394248892060289,0.8096871442264981,0.029435502978654528,18
H3K4me3,CNN,0.001,64,False,0.5812231500943502,0.01654688811241002,0.7886597911516825,0.007838635247826145,0.7779744466145834,0.010924248234094349,0.8205345074335734,0.030432470613734247,0.7414089441299438,0.03911528545922682,3
H3K4me3,Caduceus,0.0001,128,True,0.6232390820980072,0.008640525391565785,0.811211347579956,0.004474367272649526,0.8098231077194213,0.00742204928688481,0.816154831647873,0.017345679883368933,0.8046391665935516,0.02716189636884483,10
H3K4me3,HyenaDNA,0.0006,256,True,0.6000154451890425,0.012730263377721285,0.7985004674304615,0.0057130747542578665,0.79059837623076,0.008484176263215766,0.8240768855268304,0.027814142192119688,0.7617150870236483,0.03390645453682651,11
H3K4me3,Mamba-bpe,5e-05,256,True,0.6012485806758587,0.01583102194169771,0.8003568603442266,0.007951868429447761,0.8005375403624314,0.00932449210910364,0.8000158254916852,0.014525278573130204,0.8017446444584773,0.02372584979147493,13
H3K4me3,Mamba-char,0.0001,256,True,0.6058002081182268,0.01367573086367053,0.8023339046372308,0.0072916225781511365,0.7992307543754578,0.011349352753928007,0.8119555181927152,0.014995488784052859,0.7880870567427741,0.03211238982734653,18
H3K9ac,CNN,0.001,64,False,0.503395160039266,0.01596989101224626,0.7506640156110128,0.008587344888121297,0.7521186669667562,0.0185981917307321,0.7482590079307556,0.024385417554259506,0.7589641412099203,0.05817962351896283,3
H3K9ac,Caduceus,0.0001,256,False,0.5121895869572958,0.003919709159812361,0.7553120652834574,0.0023002175505860587,0.7633440295855204,0.004357990831554978,0.7392943302790324,0.01147035970844714,0.7895086208979288,0.02185189466677887,3
H3K9ac,HyenaDNA,0.0002,256,True,0.5049279655019442,0.011723486102060334,0.7509960134824117,0.0067819554239458395,0.7576719125111898,0.010334436105774902,0.7392144550879797,0.024843680732611572,0.7800464828809103,0.0448857261311014,12
H3K9ac,Mamba-bpe,5e-05,128,True,0.4770221572655898,0.02119948611545213,0.736745325418619,0.010313977070404882,0.7459336473391607,0.01653212091759102,0.7213910772250249,0.021105004411834074,0.7752068684651301,0.050511830784163665,13
H3K9ac,Mamba-char,0.0005,128,True,0.5018259965711169,0.01927021563803801,0.7488379875818888,0.010066511430138956,0.7566041946411133,0.013585538106434897,0.7357955740557777,0.029987332566651113,0.7828685310151842,0.05307054213619669,18
H3K9me3,CNN,0.001,64,False,0.3443547189235687,0.030110632160365847,0.6658823490142822,0.02061341410580935,0.7015066742897034,0.005072884197609626,0.6368814905484518,0.03585152973246768,0.7858823537826538,0.06049391761834349,3
H3K9me3,Caduceus,0.001,256,False,0.39502962430318195,0.02149021887771243,0.6968627373377482,0.010544590717447663,0.6952572067578634,0.012158813927130844,0.7003920873006185,0.028408134579144824,0.6925490299860636,0.0434710902659496,3
H3K9me3,HyenaDNA,0.0006,256,True,0.36999001182042635,0.030820188977729666,0.6806334899022028,0.016446875160712044,0.695009708404541,0.028311300332524564,0.6687977405694815,0.03824347372607658,0.7348416310090286,0.09334677395050965,13
H3K9me3,Mamba-bpe,0.0001,128,True,0.28964765484516436,0.028514614638604236,0.6433484187492957,0.014431537384452119,0.6275022259125342,0.034068961003715294,0.6579825557195224,0.028411828449533404,0.6054298602617704,0.06543534723934527,13
H3K9me3,Mamba-char,0.0003,128,True,0.3403269781006707,0.016759633859782734,0.6683660116460588,0.008904024631657249,0.662407398223877,0.025999171599586465,0.6766837702857124,0.028760709235281286,0.655686272515191,0.07288981786886552,18
H4K20me1,CNN,0.001,64,False,0.5604201555252075,0.01149843093165132,0.7762114405632019,0.0027511012219234125,0.7924843827883402,0.00852118871739331,0.7388158440589905,0.011085949510097889,0.8555066188176473,0.034899219205883035,3
H4K20me1,Caduceus,0.001,128,False,0.5893415013949076,0.0058650144845049336,0.7879588802655538,0.0024262342029569544,0.808278481165568,0.0027856060379184487,0.7375832398732504,0.0014418527234556033,0.8939794500668844,0.006373722395818566,3
