task,model,best_lr,best_epoch,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count,source_files,same_source_file,num_source_files
H4K20me1,NTv2,0.0001,3.0,0.674456758870083,0.011457019776189868,0.8302496328928047,0.007454355445813273,0.8284736048933703,0.00808165081441175,0.8443687449997115,0.004727003592821778,0.8302496328928047,0.0074543554458132485,3,combined_results_orig_07.21.2025.csv,True,1
covid,DNABERT,0.0001,9.0,0.3886971699184925,0.02622148576352521,0.45619857890800297,0.022970062751670878,0.45765439176500866,0.022874604527899533,0.4710429049589961,0.02620586419054381,0.4602615752983599,0.022673595542111097,7,combined_results_orig_07.21.2025.csv,True,1
covid,DNABERT2,2e-05,5.0,0.4008966741588992,0.3138929218907591,0.47034249563699826,0.27571952932618177,0.44125121334649986,0.3186399304348889,0.44893991532936817,0.3213829116703368,0.4688203245807541,0.2800929082422577,10,covid_repeated.csv,True,1
covid,GPT,3e-05,4.0,0.5494243871104766,0.013276716178501973,0.6008216986620128,0.011714612291273551,0.6050149616419808,0.01152870982564947,0.6112389812012513,0.01200332856005995,0.6016387944500516,0.011812714059552512,6,combined_results_orig_07.21.2025.csv,True,1
covid,NTv2,0.0001,30.0,0.498117194583226,0.023125986545672834,0.5548102094240838,0.020505221787392367,0.5575598478979849,0.020959637489228137,0.5630700015544898,0.022280382560346295,0.55697474982162,0.02017322997152668,10,combined_results_orig_07.21.2025.csv,True,1
demo_coding_vs_intergenomic,DNABERT,3e-05,4.0,0.7333762471786469,0.005623984825412462,0.86662,0.0028154928520598066,0.8666158362501944,0.0028190309799497743,0.8667119637390217,0.0028000117783058055,0.8666642865500409,0.0028241718928995628,5,dnabert1_bridges_gb_anisa_replicates.csv,True,1
demo_coding_vs_intergenomic,DNABERT2,3e-05,6.0,0.8955916052285614,0.008274114065801447,0.9477666666666666,0.004116734142496935,0.9477635010815033,0.004117235002803023,0.9478160688529687,0.004143729472625165,0.9477755410015091,0.004130827893771476,9,combined_results_repeated_07.21.2025.csv,True,1
demo_coding_vs_intergenomic,GPT,0.0001,4.0,0.6586660226247194,0.10272588395589251,0.8273199999999999,0.05493293183510234,0.8261322115178686,0.05715380695360245,0.8316967100368127,0.04737068146158231,0.8270567257795631,0.05527956959481304,5,"combined_results_repeated_07.21.2025.csv, combined_results_orig_07.21.2025.csv",False,2
demo_coding_vs_intergenomic,NTv2,0.0001,4.0,0.8065474761340291,0.039540892445336547,0.9030428571428571,0.019906519630752247,0.902988094195518,0.019957677512710954,0.9035714609481172,0.0195363323031796,0.9029764029866035,0.020004907453128384,7,"combined_results_repeated_07.21.2025.csv, combined_results_orig_07.21.2025.csv",False,2
demo_human_or_worm,DNABERT,3e-05,4.0,0.8199367243039077,0.0020290523963684822,0.9097200000000001,0.0009654014708917611,0.9097152236199552,0.0009633037729805781,0.910043269217024,0.0010638904493876999,0.9098934925474309,0.0009752624402794349,5,dnabert1_bridges_gb_anisa_replicates.csv,True,1
